Date,USDM Supply,wUSDM Supply,Wrap Ratio
2024-03-23,154398425.564652289262180813,133102771.360660674244602829,0.8621
2024-03-24,154419034.786812395426780073,133102771.360660674244602829,0.8620
2024-03-25,154439644.008972501591379332,133102725.360660674244602829,0.8618
2024-03-26,154460253.231132607755978591,133102725.360660674244602829,0.8617
2024-03-27,154480862.453292713920577851,133102725.360660674244602829,0.8616
2024-03-28,154501471.67545282008517711,133102725.360660674244602829,0.8615
2024-03-29,154522080.897612926249776369,132043931.029720527951927268,0.8545
2024-03-30,154542690.119773032414375629,60987457.315658171946518913,0.3946
2024-03-31,154563299.341933138578974888,60338048.902952038920577398,0.3904
2024-04-01,154583908.564093244743574147,60097938.755426442142993666,0.3888
2024-04-02,80298229.496580005884146502,55024133.812700907622608928,0.6852
2024-04-03,80308933.479066767024718856,54529618.110998804051245713,0.6790
2024-04-04,80319637.461553528165291209,39031811.736311490710201693,0.4860
2024-04-05,80330341.444040289305863563,38974113.685266917544440155,0.4852
2024-04-06,80341045.426527050446435917,38727760.353038752281394662,0.4820
2024-04-07,80351749.409013811587008271,38722833.284854598558428912,0.4819
2024-04-08,80362453.391500572727580625,33949566.388815215131706472,0.4225
2024-04-09,80373157.373987333868152979,33832584.902899683362270387,0.4209
2024-04-10,80383861.356474095008725332,33004211.536057818668570248,0.4106
2024-04-11,80383861.356474095008725332,25090470.444535433795623494,0.3121
2024-04-12,78394565.338960856149297687,24628144.529084566923587356,0.3142
2024-04-13,78394565.338960856149297687,24261115.109431071808958422,0.3095
2024-04-14,78394565.338960856149297687,23876775.444366650471714802,0.3046
2024-04-15,78394565.338960856149297687,16233139.201894567804010603,0.2071
2024-04-16,78394565.338960856149297687,16120294.049870080819786175,0.2056
2024-04-17,78457191.516556880344175198,15811787.15042382794136637,0.2015
2024-04-18,78467629.212822884376654783,15670710.951139434308764064,0.1997
2024-04-19,78478066.909088888409134368,14601755.844431497521882833,0.1861
2024-04-20,78488504.605354892441613954,14406490.991646779270835197,0.1835
2024-04-21,47059750.301620896474093539,14383310.838712888334913246,0.3056
2024-04-22,47066007.651918878362383547,14314682.450707353135192008,0.3041
2024-04-23,47072265.002216860250673556,14069334.41132236822463087,0.2989
2024-04-24,44878522.352514842138963565,14094527.417921267400181971,0.3141
2024-04-25,44884487.29408868265044894,14024405.895139232823784384,0.3125
2024-04-26,44890452.235662523161934314,13920162.240994422794054471,0.3101
2024-04-27,44896417.177236363673419688,13778142.486371386668974893,0.3069
2024-04-28,44902382.118810204184905062,13756658.704633978607952358,0.3064
2024-04-29,44908347.060384044696390437,13718460.159246683292742004,0.3055
2024-04-30,44914312.001957885207875811,13744784.779748693751251562,0.3060
2024-05-01,44920276.943531725719361185,13627909.594613662157447037,0.3034
2024-05-02,44926241.885105566230846559,13350543.7568640146057817,0.2972
2024-05-03,44932206.826679406742331933,12807410.829642048336432657,0.2850
2024-05-04,44938171.768253247253817308,12702289.961931693869534898,0.2827
2024-05-05,44944136.709827087765302682,12456253.444083808907365948,0.2771
2024-05-06,44950101.651400928276788056,11152448.261185484099889811,0.2481
2024-05-07,44956066.59297476878827343,11146016.211497465258233995,0.2479
2024-05-08,44962031.534548609299758805,10857111.293518646068684438,0.2415
2024-05-09,44967996.476122449811244179,10824158.016259455688346652,0.2407
2024-05-10,44973961.417696290322729553,10701578.01346529832990772,0.2380
2024-05-11,44979926.359270130834214927,10579533.873514736372380056,0.2352
2024-05-12,44985891.300843971345700302,10577433.186210318926241147,0.2351
2024-05-13,44991856.242417811857185676,10577000.148716370178402705,0.2351
2024-05-14,44997821.18399165236867105,10515836.241515254761429074,0.2337
2024-05-15,45003786.125565492880156424,10476331.70270222597806762,0.2328
2024-05-16,45009751.067139333391641799,10290621.394436644271346802,0.2286
2024-05-17,45015716.008713173903127173,10277436.12282069342567138,0.2283
2024-05-18,45021680.950287014414612547,10239134.99743141183291735,0.2274
2024-05-19,45027645.891860854926097921,10229462.212543865195533184,0.2272
2024-05-20,44101735.403944695437583296,10081353.313577055482121764,0.2286
2024-05-21,44107576.913655353473004895,10079606.155333578193586589,0.2285
2024-05-22,44113418.423366011508426493,9880343.34189018805390897,0.2240
2024-05-23,44119259.933076669543848092,8355397.635298744759998473,0.1894
2024-05-24,44125101.44278732757926969,7894355.194162690653605458,0.1789
2024-05-25,44130942.952497985614691289,7313061.666106407916863383,0.1657
2024-05-26,44136784.462208643650112887,7164139.76813213725345896,0.1623
2024-05-27,44142625.971919301685534485,7107325.189870463557548211,0.1610
2024-05-28,44148467.481629959720956084,7095334.518363118129656731,0.1607
2024-05-29,44154308.991340617756377682,6943817.804698614190799364,0.1573
2024-05-30,44160150.501051275791799281,6896856.754728079020870057,0.1562
2024-05-31,41444625.58468193382722088,6865522.934525540037565335,0.1657
2024-06-01,41450107.159345727490716136,6747283.579024142667853059,0.1628
2024-06-02,41455588.734009521154211392,6725986.155610016747789463,0.1622
2024-06-03,41461070.308673314817706648,6529231.932948236579514081,0.1575
2024-06-04,41466551.883337108481201904,6515332.310490334749041975,0.1571
2024-06-05,41472033.458000902144697161,6401139.973502972009221518,0.1543
2024-06-06,41477555.044158592112305521,6399187.351481542738697161,0.1543
2024-06-07,41483076.630316282079913881,6240719.407759300188703283,0.1504
